#,BOROUGH,BLOCK,NEIGHBORHOOD,BUILDING CLASS CATEGORY,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,BUILDING CLASS AT TIME OF SALE,TAX CLASS AT TIME OF SALE,SALE PRICE
379,1,471,LITTLE ITALY,01 ONE FAMILY DWELLINGS                    ,1,0,1,1016,3700,1800,A4,1,7090000
8370,3,1669,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS                  ,3,0,3,2000,3949,1800,C0,1,1836125
3555,3,2431,WILLIAMSBURG-SOUTH,07 RENTALS - WALKUP APARTMENTS             ,4,0,4,1785,2772,1800,C3,2,1975000
1311,5,2882,CONCORD,29 COMMERCIAL GARAGES                      ,0,1,1,1428,400,1800,G9,4,340000
4944,3,1059,PARK SLOPE,38 ASYLUMS AND HOMES                       ,0,2,2,1883,2655,1800,N2,4,3400000
5519,3,3226,BUSHWICK,14 RENTALS - 4-10 UNIT                     ,4,1,5,1932,6000,1800,S4,2,1645000
18654,3,238,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,3050,3375,1835,A9,1,7750000
9212,3,226,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,2,0,2,2076,2784,1835,B1,1,5135000
14801,3,237,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,7371,1844,A9,1,12900000
16062,3,234,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,10,0,10,2652,5694,1844,C1,2,5500000
9071,3,270,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,2,0,2,2054,3800,1846,B3,1,6600000
386,3,210,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,1020,1626,1847,A9,1,2675000
24264,1,744,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,24,0,24,4600,12200,1850,C6,2,282000
5436,3,221,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,2,0,2,1919,3496,1852,B3,1,5650000
18524,3,237,BROOKLYN HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,16,0,16,3005,9570,1852,D1,2,7100000
11789,3,236,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,8,0,8,2382,6569,1854,C1,2,7000000
15130,3,238,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,7,0,7,2529,7842,1854,C1,2,5400000
1735,3,234,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,9,0,9,1525,6063,1856,C1,2,5500000
8429,3,274,BROOKLYN HEIGHTS,14 RENTALS - 4-10 UNIT                     ,6,1,7,2000,5000,1856,S5,2,3700000
1204,4,31,LONG ISLAND CITY,02 TWO FAMILY DWELLINGS                    ,2,0,2,1400,1080,1870,B3,1,1575000
24064,5,567,STAPLETON,03 THREE FAMILY DWELLINGS                  ,3,0,3,4500,1840,1870,C0,1,600000
2586,4,47,LONG ISLAND CITY,02 TWO FAMILY DWELLINGS                    ,2,0,2,1658,4464,1871,B3,1,3000000
935,4,80,LONG ISLAND CITY,02 TWO FAMILY DWELLINGS                    ,2,0,2,1300,2160,1880,B1,1,4000000
555,4,899,ASTORIA,02 TWO FAMILY DWELLINGS                    ,2,0,2,1145,1530,1880,B1,1,600000
12859,4,707,ASTORIA,02 TWO FAMILY DWELLINGS                    ,2,0,2,2500,906,1880,B9,1,850000
3127,3,267,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,5,0,5,1719,4700,1880,C2,2,1728000
20506,1,521,GREENWICH VILLAGE-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,42,0,42,3731,15925,1880,C5,2,22112000
9303,1,611,GREENWICH VILLAGE-WEST,22 STORE BUILDINGS                         ,2,1,3,2090,4224,1880,K4,4,6856750
26506,1,230,SOHO,11A CONDO-RENTALS                           ,10,2,12,6185,15655,1880,RR,2,8146000
2522,4,78,LONG ISLAND CITY,02 TWO FAMILY DWELLINGS                    ,2,0,2,1650,2228,1881,B3,1,2275000
2513,4,77,LONG ISLAND CITY,03 THREE FAMILY DWELLINGS                  ,3,0,3,1650,1602,1881,C0,1,1490000
2514,4,77,LONG ISLAND CITY,03 THREE FAMILY DWELLINGS                  ,3,0,3,1650,1602,1881,C0,1,450000
28287,2,5130,WAKEFIELD,30 WAREHOUSES                              ,0,1,1,30750,28910,1883,E1,4,3000000
341,1,1583,UPPER EAST SIDE (79-96),01 ONE FAMILY DWELLINGS                    ,1,0,1,998,3507,1890,A4,1,6500000
580,1,1629,HARLEM-EAST,01 ONE FAMILY DWELLINGS                    ,1,0,1,1162,2464,1890,A5,1,2250000
574,3,2335,WILLIAMSBURG-NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,1160,1100,1890,A9,1,218000
14064,4,698,ASTORIA,02 TWO FAMILY DWELLINGS                    ,2,0,2,2500,2200,1890,B2,1,25100
14065,4,698,ASTORIA,02 TWO FAMILY DWELLINGS                    ,2,0,2,2500,2200,1890,B2,1,73515
1124,3,1943,CLINTON HILL,02 TWO FAMILY DWELLINGS                    ,2,0,2,1363,3360,1890,B9,1,2925000
4385,4,899,ASTORIA,03 THREE FAMILY DWELLINGS                  ,3,0,3,1805,2000,1890,C0,1,1100000
3427,1,1638,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,4,0,4,1766,2412,1890,C3,2,1469500
3428,1,1638,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,4,0,4,1766,2412,1890,C3,2,1900000
4451,1,1665,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,4,0,4,1817,3483,1890,C3,2,2300000
8056,4,78,LONG ISLAND CITY,07 RENTALS - WALKUP APARTMENTS             ,10,0,10,2000,2976,1890,C5,2,1400000
3110,1,1827,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,8,0,8,1716,3213,1890,C5,2,1300000
4683,1,1753,HARLEM-CENTRAL,37 RELIGIOUS FACILITIES                    ,0,1,1,1856,2620,1890,M4,4,1855000
13705,4,76,LONG ISLAND CITY,02 TWO FAMILY DWELLINGS                    ,2,0,2,2500,1752,1891,B3,1,1903000
1148,3,3321,BUSHWICK,03 THREE FAMILY DWELLINGS                  ,3,0,3,1379,2394,1895,C0,1,100000
4292,1,2130,WASHINGTON HEIGHTS LOWER,07 RENTALS - WALKUP APARTMENTS             ,7,0,7,1800,2817,1896,C1,2,1350000
27958,5,894,TODT HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,13680,1540,1899,A0,1,750000
27932,5,60,NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,13150,2808,1899,A1,1,335000
27727,5,155,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,10671,2464,1899,A1,1,725000
27728,5,155,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,10671,2464,1899,A1,1,725000
26910,5,158,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,7176,1360,1899,A1,1,420000
20366,5,158,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,3650,1180,1899,A1,1,375000
26235,5,159,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,6000,1584,1899,A1,1,415000
23852,5,179,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,4400,1012,1899,A1,1,162747
25967,5,187,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,5700,1849,1899,A1,1,200000
3605,5,194,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,1798,740,1899,A1,1,240000
9923,5,198,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,2170,864,1899,A1,1,341000
26006,5,203,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,5750,1418,1899,A1,1,320000
13275,5,208,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1407,1899,A1,1,195000
26063,5,216,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,5840,1350,1899,A1,1,310284
25855,5,217,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,5513,1612,1899,A1,1,410000
26052,5,217,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,5811,1304,1899,A1,1,580000
21053,5,251,SILVER LAKE,01 ONE FAMILY DWELLINGS                    ,1,0,1,3910,1448,1899,A1,1,435000
17310,5,252,SILVER LAKE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2875,1560,1899,A1,1,495000
26007,5,252,SILVER LAKE,01 ONE FAMILY DWELLINGS                    ,1,0,1,5750,2001,1899,A1,1,695000
20132,5,253,SILVER LAKE,01 ONE FAMILY DWELLINGS                    ,1,0,1,3550,1200,1899,A1,1,499000
20134,5,253,SILVER LAKE,01 ONE FAMILY DWELLINGS                    ,1,0,1,3550,1232,1899,A1,1,458500
25965,5,354,CASTLETON CORNERS,01 ONE FAMILY DWELLINGS                    ,1,0,1,5700,1476,1899,A1,1,539000
26919,5,361,CASTLETON CORNERS,01 ONE FAMILY DWELLINGS                    ,1,0,1,7200,1872,1899,A1,1,750000
19146,5,398,WESTERLEIGH,01 ONE FAMILY DWELLINGS                    ,1,0,1,3200,1364,1899,A1,1,475000
14,3,461,GOWANUS,01 ONE FAMILY DWELLINGS                    ,1,0,1,414,800,1899,A1,1,634636
16509,5,505,STAPLETON,01 ONE FAMILY DWELLINGS                    ,1,0,1,2726,864,1899,A1,1,370000
23435,5,506,STAPLETON,01 ONE FAMILY DWELLINGS                    ,1,0,1,4175,1381,1899,A1,1,235000
24992,5,514,STAPLETON,01 ONE FAMILY DWELLINGS                    ,1,0,1,5000,1604,1899,A1,1,465000
5924,5,516,STAPLETON,01 ONE FAMILY DWELLINGS                    ,1,0,1,1975,1235,1899,A1,1,299000
13506,5,518,STAPLETON,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1593,1899,A1,1,350000
3890,5,536,STAPLETON,01 ONE FAMILY DWELLINGS                    ,1,0,1,1800,1296,1899,A1,1,335000
12882,3,585,RED HOOK,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1000,1899,A1,1,116610
17702,5,633,CONCORD,01 ONE FAMILY DWELLINGS                    ,1,0,1,2975,896,1899,A1,1,271959
24439,5,633,CONCORD,01 ONE FAMILY DWELLINGS                    ,1,0,1,4750,1008,1899,A1,1,290000
24440,5,633,CONCORD,01 ONE FAMILY DWELLINGS                    ,1,0,1,4750,1008,1899,A1,1,258000
16749,5,633,CONCORD,01 ONE FAMILY DWELLINGS                    ,1,0,1,2772,1348,1899,A1,1,280000
19010,5,633,CONCORD,01 ONE FAMILY DWELLINGS                    ,1,0,1,3150,1280,1899,A1,1,335000
25478,5,1008,PORT RICHMOND,01 ONE FAMILY DWELLINGS                    ,1,0,1,5100,2188,1899,A1,1,450000
13435,5,1032,PORT RICHMOND,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1533,1899,A1,1,274000
